"","Stratum","Species","Years","Density Trend","Density f","Density 95% CI","Occupancy Trend","Occupancy f","Occupancy 95% CI"
"4182","CO-BCR16-SA: San Juan National Forest","American Coot","2008-2024",-4.43,"0.7165","(-18.44, 13.03)",-3.93,"0.70625","(-18.32, 12.56)"
"4183","CO-BCR16-SA: San Juan National Forest","American Crow","2008-2024",3.65,"0.77","(-6.27, 15.96)",-8.79,"0.943","(-19.02, 2.28)"
"4184","CO-BCR16-SA: San Juan National Forest","American Dipper","2008-2024",-1.92,"0.623","(-14.2, 12.82)",-1.66,"0.616","(-13.01, 11.57)"
"4185","CO-BCR16-SA: San Juan National Forest","American Goldfinch","2008-2024",-0.03,"0.502","(-14.51, 17.47)",-4.37,"0.744","(-17.22, 10.1)"
"4186","CO-BCR16-SA: San Juan National Forest","American Goshawk","2008-2024",-2.42,"0.656","(-13.31, 12.89)",-0.6,"0.532","(-11.98, 15.12)"
"4187","CO-BCR16-SA: San Juan National Forest","American Kestrel","2008-2024",1.87,"0.655625","(-6.03, 12.15)",2.19,"0.69","(-6.03, 11.56)"
"4188","CO-BCR16-SA: San Juan National Forest","American Pipit","2008-2024",0.32,"0.516","(-12.95, 14.14)",-0.93,"0.58375","(-11.24, 10.73)"
"4189","CO-BCR16-SA: San Juan National Forest","American Robin","2008-2024",-5.48,"0.99875","(-8.06, -2.5)",-3.06,"0.986","(-5.75, -0.29)"
"4190","CO-BCR16-SA: San Juan National Forest","American Three-toed Woodpecker","2008-2024",7.01,"0.913","(-2.63, 21.29)",6.34,"0.89875","(-2.93, 18.73)"
"4191","CO-BCR16-SA: San Juan National Forest","Ash-throated Flycatcher","2008-2024",5.23,"0.77625","(-7.11, 21.52)",2.8,"0.693333333333333","(-8.49, 18.04)"
"4192","CO-BCR16-SA: San Juan National Forest","Bald Eagle","2008-2024",6.67,"0.839","(-7.63, 24.64)",4.44,"0.732","(-9.71, 22.26)"
"4193","CO-BCR16-SA: San Juan National Forest","Band-tailed Pigeon","2008-2024",3.3,"0.682","(-10.54, 19.66)",1.71,"0.602","(-12.18, 19.55)"
"4194","CO-BCR16-SA: San Juan National Forest","Bewick's Wren","2008-2024",7.72,"0.85","(-7.32, 27.27)",3.17,"0.68","(-9.7, 20.13)"
"4195","CO-BCR16-SA: San Juan National Forest","Black-billed Magpie","2008-2024",7.47,"0.92875","(-1.8, 20.61)",3.38,"0.739","(-6.61, 15.54)"
"4196","CO-BCR16-SA: San Juan National Forest","Black-capped Chickadee","2008-2024",4.39,"0.74625","(-7.78, 19.94)",5.97,"0.831875","(-5.73, 19.97)"
"4197","CO-BCR16-SA: San Juan National Forest","Black-chinned Hummingbird","2008-2024",-0.44,"0.534","(-13.89, 16.71)",-3.65,"0.7125","(-14.69, 11.74)"
"4198","CO-BCR16-SA: San Juan National Forest","Black-headed Grosbeak","2008-2024",14.57,"1","(4.97, 27.48)",11.38,"0.9925","(2.32, 23.84)"
"4199","CO-BCR16-SA: San Juan National Forest","Black-throated Gray Warbler","2008-2024",15.99,"0.95875","(-2.61, 40.59)",6.47,"0.771","(-10.32, 29.22)"
"4200","CO-BCR16-SA: San Juan National Forest","Black-throated Sparrow","2008-2024",17.09,"0.96375","(-1.24, 43.98)",6.96,"0.764166666666667","(-8.92, 29.98)"
"4201","CO-BCR16-SA: San Juan National Forest","Blue-gray Gnatcatcher","2008-2024",2.93,"0.67375","(-8.02, 18.14)",1.65,"0.61125","(-8.48, 16.61)"
"4202","CO-BCR16-SA: San Juan National Forest","Brewer's Blackbird","2008-2024",3.35,"0.7675","(-5.74, 13.78)",-0.98,"0.6","(-9.32, 7.18)"
"4203","CO-BCR16-SA: San Juan National Forest","Brewer's Sparrow","2008-2024",11.75,"0.941666666666667","(-2.42, 29.77)",9.16,"0.89","(-5.31, 27.21)"
"4204","CO-BCR16-SA: San Juan National Forest","Broad-tailed Hummingbird","2008-2024",-2,"0.8025","(-6.43, 2.4)",-0.73,"0.644166666666667","(-5.02, 3.45)"
"4205","CO-BCR16-SA: San Juan National Forest","Brown Creeper","2008-2024",5.16,"0.955","(-0.68, 11.95)",3.52,"0.82","(-4.4, 10.88)"
"4206","CO-BCR16-SA: San Juan National Forest","Brown-capped Rosy-Finch","2008-2024",-3.41,"0.68875","(-17.14, 11.53)",2.62,"0.633","(-11.67, 19.89)"
"4207","CO-BCR16-SA: San Juan National Forest","Brown-headed Cowbird","2008-2024",1.05,"0.59125","(-8.45, 10)",-2.03,"0.671666666666667","(-10.75, 7.61)"
"4208","CO-BCR16-SA: San Juan National Forest","Bullock's Oriole","2008-2024",-1.11,"0.57","(-13.53, 13.67)",-3.88,"0.756","(-15.15, 7.77)"
"4209","CO-BCR16-SA: San Juan National Forest","Bushtit","2008-2024",8.82,"0.924375","(-3.42, 23.76)",5.11,"0.805","(-6.11, 18.86)"
"4210","CO-BCR16-SA: San Juan National Forest","Canada Goose","2008-2024",2.9,"0.661875","(-10.01, 17.97)",-2.12,"0.634375","(-14.01, 12.08)"
"4211","CO-BCR16-SA: San Juan National Forest","Canada Jay","2008-2024",-0.13,"0.51","(-7.41, 7.32)",-1.57,"0.6575","(-8.24, 5.63)"
"4212","CO-BCR16-SA: San Juan National Forest","Cassin's Finch","2008-2024",0.97,"0.561","(-13.18, 18.7)",1.58,"0.591","(-10.54, 17.16)"
